team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
ORL,7,6.54,56,47,65,327,5,72,45,34,4,36,41,8.027777777777779
ORL,0,0.031969,1,1,9,14,1,8,3,1,0,2,5,3.8
ORL,1,3.90984,43,74,40,317,20,126,62,30,15,58,74,4.446153846153846
ORL,5,11.75,23,460,107,1096,176,603,208,76,74,117,180,20.2
ORL,0,0.031969,0,0,0,0,1,6,0,0,0,3,4,-0.6
ORL,0,0.95,0,10,3,23,11,24,4,2,5,3,17,2.263157894736842
ORL,4,10,46,69,23,299,4,64,43,34,13,35,61,11.083333333333334
PHI,0,0.038903,6,19,8,64,11,18,5,3,2,3,14,11.5
PHI,0,2.31828,106,275,172,1040,112,401,182,57,30,183,162,12.901234567901234
PHI,7,9,61,173,133,662,34,151,112,40,15,62,129,8.347222222222221
PHI,3,0.442126,26,40,13,171,15,69,26,14,6,9,55,6.193548387096774
PHI,1,4.78884,0,242,106,590,81,159,58,20,49,91,122,11.7
PHI,8,9.424084,2,9,9,33,3,9,13,0,0,9,4,9
PHI,0,4.82616,36,164,191,627,61,182,66,27,76,117,112,20.64516129032258
PHI,1,1.51416,21,54,32,203,30,66,34,13,7,26,45,9.625
PHI,2,0.057672,2,3,0,12,2,3,2,0,0,4,2,2.6666666666666665
PHI,2,2.99304,132,119,122,756,21,205,188,45,32,128,144,8.85
PHI,1,1.025831,27,203,72,559,94,217,58,42,55,55,136,13.280701754385966
PHI,3,1.015696,137,155,143,864,92,344,102,127,69,131,203,14.865671641791044
PHI,4,8,92,118,18,530,21,136,344,49,4,128,95,9.132352941176471
PHI,0,0.096969,7,54,19,148,41,44,13,9,9,13,49,10.38888888888889
PHI,1,0.874636,11,225,73,556,39,212,534,134,10,159,139,12.753086419753087
PHI,6,8.55,2,12,9,39,8,14,4,1,1,6,8,5.25
PHI,0,1.32696,50,95,105,445,25,124,75,32,10,73,154,5.855072463768116
BRK,4,6.088993,2,11,2,30,4,23,3,5,0,6,18,3.8
BRK,3,1.015696,13,25,26,115,25,53,12,5,3,12,18,5.956521739130435
BRK,3,0.194494,4,30,23,95,7,21,23,4,4,14,7,8.666666666666666
BRK,8,21.165675,134,421,295,1539,121,282,176,38,124,184,192,18.8
BRK,0,1.56228,59,112,67,468,23,165,110,49,8,59,91,9.280701754385966
BRK,6,4.347826,1,1,2,7,0,2,5,1,1,1,6,2.6666666666666665
BRK,0,1.074145,44,160,91,543,32,152,192,42,36,142,175,7.2465753424657535
BRK,6,11.483254,58,117,115,523,11,124,184,42,14,86,79,15.583333333333334
BRK,2,0.980431,85,69,35,428,16,131,54,30,8,55,121,7.5
BRK,2,3,55,119,39,442,71,191,55,29,43,43,91,8.90625
BRK,2,3.333333,11,35,23,126,9,43,9,12,10,19,25,6.5
BRK,9,5,17,54,25,184,51,88,37,14,4,34,63,7
BRK,4,1.914544,36,29,43,209,18,89,18,14,15,19,58,7.5625
BRK,10,2.5,67,51,54,357,9,146,135,35,9,80,99,5.72463768115942
BRK,1,1.3956,15,220,190,675,96,356,154,82,44,116,177,11.807692307692308
BRK,2,0.980431,105,200,204,919,22,258,157,45,6,135,118,11.485714285714286
BRK,2,0.726672,38,96,126,432,27,137,185,44,23,66,119,9.847457627118644
BRK,6,9.25,25,280,74,709,143,428,138,75,28,127,152,15.098591549295774
BRK,0,0.2023,8,10,10,54,4,8,17,2,2,14,11,3.6
GSW,12,1.551659,0,5,8,18,12,15,10,3,3,8,16,2.9285714285714284
GSW,12,11.131368,64,155,72,574,51,253,261,76,39,58,97,12.763157894736842
GSW,0,1.17156,0,8,3,19,9,14,0,1,4,6,15,2.6
GSW,13,1.551659,3,132,43,316,47,156,151,42,48,78,105,8.117647058823529
GSW,4,15.330435,81,191,151,776,98,501,533,154,106,184,217,20.31578947368421
GSW,3,1.015696,61,150,44,527,22,99,90,39,8,55,77,6.415584415584416
GSW,2,0.980431,2,60,21,147,34,57,18,18,29,19,47,4
GSW,8,1.403611,0,208,56,472,100,144,17,19,67,40,109,7.961038961038961
GSW,9,26.5401,117,434,336,1555,39,474,300,66,99,138,117,30.193548387096776
GSW,1,1.18284,2,54,21,135,44,80,29,15,17,17,64,4.509433962264151
GSW,5,16.663575,268,376,186,1742,49,236,160,66,40,128,139,17.96153846153846
GSW,13,0.383351,18,20,20,114,15,76,45,12,9,24,47,9.6
GSW,0,0.543471,41,65,29,282,21,79,77,32,15,36,62,4.549295774647887
GSW,11,5.78245,1,172,42,389,28,123,139,38,20,62,120,6.7631578947368425
GSW,7,12.112359,324,351,325,1999,61,292,524,142,17,239,183,25.20253164556962
GSW,13,2.898,0,164,98,426,140,270,132,59,33,87,166,11.457142857142857
SAS,0,0.543471,17,19,5,94,2,21,23,1,0,11,20,1.8333333333333333
SAS,7,10,118,58,27,497,31,193,124,70,57,76,120,9.088235294117647
SAS,11,1.551659,0,248,80,576,149,292,124,31,40,82,125,11.708860759493671
SAS,0,0.543471,69,34,28,303,22,76,46,20,28,32,75,4.865671641791045
SAS,0,1.18008,9,41,21,130,6,36,48,8,6,38,29,3.1842105263157894
SAS,3,2.898,0,161,65,387,129,367,44,37,61,61,180,11.026315789473685
SAS,9,0.66381,0,10,5,25,8,23,3,2,6,4,11,2.8421052631578947
SAS,1,0.874636,30,147,99,483,20,140,126,47,25,76,146,6.256410256410256
SAS,5,17.638063,147,489,469,1888,80,350,260,133,55,154,122,25.2972972972973
SAS,2,1.19208,15,78,45,246,33,175,91,51,26,39,63,6.319444444444445
SAS,10,20.575005,23,477,220,1243,172,351,139,46,88,98,158,18.625
SAS,14,14,89,82,86,517,28,129,183,82,16,96,119,8.26086956521739
SAS,0,0.210995,10,10,9,59,1,9,28,4,1,19,19,3.111111111111111
SAS,7,3.578948,147,126,66,759,24,117,280,65,3,101,109,9.8125
SAS,15,15.5,56,247,130,792,107,394,150,24,70,81,110,17.203125
SAS,15,14.445313,23,242,85,638,9,104,285,34,2,89,92,10.26984126984127
HOU,2,0.934293,14,9,2,62,0,6,14,1,0,5,5,1.64
HOU,0,0.543471,0,5,4,14,2,8,3,3,1,4,6,5
HOU,2,1.29624,0,362,94,818,178,348,63,34,79,87,179,17.676923076923078
HOU,8,12.385364,246,166,147,1217,29,172,188,48,41,121,150,12.56
HOU,0,0.305,0,1,1,3,1,2,3,1,1,0,6,1
HOU,7,26.5401,262,412,746,2356,95,564,907,121,38,464,215,32.382716049382715
HOU,11,7,41,61,98,343,12,58,56,15,9,40,25,12
HOU,1,1.045,1,224,76,527,81,138,64,20,42,44,126,11.431034482758621
HOU,14,2.898,3,242,116,609,95,187,65,56,39,73,163,11.119402985074627
HOU,4,6,110,118,73,639,95,298,281,99,25,100,222,14.925373134328359
HOU,8,18.735364,204,119,129,979,112,218,68,31,14,55,142,12.444444444444445
HOU,1,1.72056,60,143,38,504,94,190,76,38,21,41,83,8.12987012987013
HOU,12,7.806971,191,135,93,936,54,404,175,147,20,73,133,14.475
HOU,0,0.181969,8,14,6,58,9,15,6,3,1,6,18,10.5
LAC,7,1.315448,14,16,12,86,3,21,11,3,0,7,35,2.1
LAC,4,11,111,212,132,889,20,141,204,48,10,115,187,9.864864864864865
LAC,6,20.140838,38,441,320,1316,112,385,300,57,22,142,157,23.885245901639344
LAC,11,1.551659,1,106,77,292,43,86,21,14,11,29,45,6.6923076923076925
LAC,0,1.27392,0,2,0,4,1,2,1,2,1,1,0,1.6666666666666667
